id,UMAP1,UMAP2,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,DM11,DM12,DM13,DM14,DM15,DM16,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30
"010,018",4.2558,29.8318,0.2772,0.1003,0.0583,-0.1081,-0.1289,-0.0790,-0.1510,0.1708,-0.0632,0.2768,-0.0042,0.1483,0.0074,-0.1307,0.0546,0.0381,0.0533,0.0029,-0.0396,-0.1542,0.1378,-0.0443,-0.0832,0.1104,0.0654,-0.0763,-0.0474,-0.0139,-0.0931,-0.0147
"010,019",-11.3253,23.1097,0.2359,0.0114,0.0306,-0.0207,-0.2227,-0.0273,0.0203,0.1573,-0.0882,0.1234,0.0155,0.0441,0.0976,-0.2142,0.1140,0.0813,0.1551,0.0297,0.0253,-0.0767,0.0729,0.1190,-0.0732,0.1134,-0.0510,-0.0412,-0.0045,-0.1513,0.0401,0.0093
"010,020",30.7868,-7.1926,-0.1949,0.2484,0.2169,-0.1750,-0.0067,-0.0186,-0.2000,0.0027,-0.0845,0.0932,-0.0099,0.3492,0.0706,0.2911,0.0226,-0.0461,-0.1035,0.1038,-0.1508,-0.1334,0.1029,-0.2254,-0.0580,0.0002,-0.0093,0.2044,-0.1699,0.1293,-0.1243,-0.3442
"010,021",0.7111,21.3905,0.0937,0.1141,0.0581,-0.1399,0.0305,-0.0269,-0.1954,-0.0311,0.2941,0.0762,0.0683,0.3492,-0.0610,0.1009,0.0185,-0.2491,-0.1140,0.0703,-0.0179,0.0888,0.0220,0.0449,0.0786,0.0488,0.0278,-0.0532,0.0483,0.0888,-0.0872,0.1604
"010,022",16.8889,-28.9284,-0.0887,-0.0378,-0.3079,0.0538,0.3312,0.2999,0.0977,-0.1612,0.0613,-0.2301,-0.0282,0.0185,-0.2601,-0.3156,0.7262,-0.4059,0.8172,0.3365,-0.1163,-0.2772,-0.3072,-0.5245,0.0573,-0.1338,0.2594,0.0352,-0.1490,-0.4264,0.2155,0.0533
"010,023",9.6547,5.7015,-0.2579,0.1608,0.1854,-0.0412,0.0056,-0.0035,0.0519,-0.0798,0.1404,0.0942,-0.3142,0.2487,0.0206,0.0458,-0.0009,0.0413,0.0667,0.1860,0.1277,0.0686,0.0110,0.0990,0.0221,-0.0391,-0.0659,-0.0666,0.1033,-0.0335,0.1402,-0.0703
"010,024",16.8428,3.8343,-0.0858,0.1433,-0.0442,-0.1024,0.1486,0.1463,-0.0128,-0.0868,-0.1124,-0.0141,-0.1244,0.3430,-0.0231,0.2422,0.2194,-0.4038,-0.0842,0.1130,-0.2677,0.2456,0.0031,0.1121,-0.0112,0.1937,-0.0877,0.1254,0.4072,0.1804,-0.0848,0.0242
"010,026",-13.5829,-9.0386,-0.0986,-0.0520,0.0126,0.0401,0.0479,-0.1623,0.1876,0.1804,0.2338,-0.2174,0.2563,-0.1446,-0.1339,-0.0367,-0.0759,-0.0411,-0.0075,0.0376,-0.1070,-0.0538,0.0262,-0.0211,-0.0388,0.0670,-0.0498,-0.0078,0.0333,-0.0007,-0.1078,0.0061
"010,027",3.3519,15.0617,0.0138,0.0598,0.0725,-0.0462,-0.0579,-0.0465,-0.0399,0.0605,0.0170,0.0490,-0.0146,0.2304,0.1050,0.1094,0.0580,0.0416,-0.0079,0.0429,0.1363,0.1227,-0.1393,0.0034,0.0183,-0.0325,-0.0211,-0.2285,-0.0322,-0.0321,0.0467,0.0063
"010,028",-13.8264,23.9986,0.1381,-0.0456,-0.0255,0.0835,-0.1265,0.0101,0.0510,0.0268,-0.0854,-0.0443,0.0335,-0.0396,0.0702,-0.2115,0.2236,0.1486,0.1351,0.1266,0.0259,-0.0388,-0.1897,-0.0136,0.1034,0.0405,-0.4037,0.2778,0.0143,0.1378,0.0794,0.2314
"010,030",-4.7131,-2.8461,-0.0619,-0.0496,-0.0622,0.1345,0.0300,0.0392,0.1083,0.0239,-0.0012,-0.0335,0.0761,-0.0254,-0.0057,0.0169,0.1767,-0.2080,-0.1020,0.0544,0.0337,0.1165,0.0181,-0.0421,0.0325,0.0173,-0.0430,0.0200,0.1472,0.0406,-0.0288,-0.0931
