id,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,DM11,DM12,DM13,DM14,DM15,DM16,DM17,DM18,DM19,DM20,DM21,DM22,DM23,DM24,DM25,DM26,DM27,DM28,DM29,DM30
22,0.20966618413372998,0.10243624849564623,0.12692161866760387,0.1834267089701124,-0.28839779827599393,0.2361990446871019,-0.04855700964079352,-0.0799737426125941,-0.02421562819132107,-0.05569472270791828,0.026701384184267235,0.12125915760455146,0.062383260609403315,-0.3042709316359004,-0.16315184038441544,-0.13082797968655638,-0.4527587625097949,-0.028108633531119847,0.005950333449395644,-0.038475353287317146,-0.22692793244381476,0.1357995404197569,0.15842845562699243,-0.047147742706237575,-0.0260074491847582,0.02611195931467039,0.0036474307148017743,0.012844871439906501,-0.017667043522858937,-0.0864737434908898
1,-0.05390476939616608,-0.038622329641659923,-0.008998136263457563,-0.06060097430773675,0.012350773724732275,-0.0011426437933886504,0.034904681791455665,0.07543454263445228,-0.010383291251320958,0.048590496073193226,-0.02370249433808922,-0.009359357591466428,0.03202017859027881,0.019642859450845228,-0.015793224067547382,-0.003081283802128972,-0.0022156761511955892,-0.0002376181502176727,0.015023558499904591,0.0181166832711996,-0.0247232333629242,0.03717225125679872,0.01618593132053515,0.017917991616846006,-0.0037409855762784755,0.026456498142292454,-0.034573707147571575,-0.0014305079170238801,-0.008493329760616035,0.005480827565327785
46,-0.006133067881890238,0.09345424511411543,-0.08558755297695711,0.08859070005232648,-0.12573557664940085,-0.5356479666783506,0.1380244049322806,-0.19094258985732954,-0.010333371357972217,0.05016383457646969,-0.05013360749020433,0.11723759419582261,0.018618084806481597,0.16105275931336002,-0.03370562753504026,0.06810845399386724,-0.04213107574158118,-0.026234986204818466,0.017132374815496076,-0.014051630174255054,-0.023788879502025864,0.015273194135786764,0.038087083457006954,-0.017970041885746108,0.028270642244529937,0.005870782311674191,-0.0457875604198122,0.06545640123518223,-0.04116930601146314,0.029470962810340975
29,-0.32433584184545305,-0.20758514615986837,0.01056200040506873,-0.9345604323592973,-0.18255595038880384,0.062089903684923606,-0.3054592862466305,-0.5433796884090349,-0.013854107049452665,-0.6775323512105975,-0.2520738987109853,0.023358438908110624,-0.08201067410235532,-0.0866890838225641,-0.06061992979331055,0.05725276214781652,0.01151949021349856,-0.11778017178924005,0.011958913943788207,-0.010189597538914567,0.014852225340656078,0.09681040233020391,-0.08204204984995692,0.0015332707781099278,-0.011854063409642493,0.07806091270072153,0.026281476521394186,0.007905905275934306,0.04337829389506827,0.07637457979149782
34,-0.5883634863507387,0.29963645646884096,-0.4098588238652939,0.23456461201683157,0.10973348029879985,0.09156800246161378,0.03806748692843796,-0.024652600854039086,0.03287410298541339,-0.06093583917599655,-0.0181407225845265,0.10852359777059263,-0.018511240637124098,-0.06875419254725376,0.0127390856808939,-0.012996452759158339,0.004805118898778698,-0.0018358214419915504,0.0038690320258539463,0.031104782436718034,-0.003924829303628527,0.009857483080585755,-0.0014436348717653115,-0.032015956440516406,0.003658965133722084,0.013804978565191351,-0.012299185906542866,-0.004326677385288501,0.008820656351376919,0.0013182947443416604
69,0.07501815056139871,0.04273495752662752,0.03748684684888648,0.016896490957837816,-0.06915227137574254,0.06715771516501635,0.1519727287461083,0.21507657271176697,-0.1252051319292303,0.06280336970262014,-0.09189398251799916,0.16852865107951406,0.5260914611648726,-0.09848345446968208,-1.3883578882011924,0.8857187151721697,0.8511757783443084,-0.013905835703059323,-0.5704084720691489,-0.2594280974461203,-0.6139710617344056,0.28893164595724374,-0.175644206697146,-0.3884422816538312,-0.13665651125302275,-0.4819613008245769,0.5193787805297297,-0.1558283227780002,-0.04863390761885711,-0.28236886829438973
49,0.1905432110745864,0.12742128871290812,-0.0850561179572026,0.22795074816115407,-0.10993203692161659,-0.08435089714325933,-0.37018541017457784,-0.057058501100086666,0.7102116006235578,0.023315035641330712,-0.3100149089689834,-0.20585324330511562,-0.2266328901521966,0.06451886794046417,-0.1508273974158699,0.010316694007689763,-0.03232893767181162,0.06334531075695243,-0.016627987706159416,-0.14824287314768145,0.024988215771913583,-0.10877933815074169,-0.06468554225098969,-0.024383234284653665,-0.02451968526409116,-0.03133603937506091,-0.0044912438391930985,-0.04615892349977001,0.05602563898848563,0.10641503664929654
74,-0.49269637257099885,-0.12903919527175672,-0.1435600396673008,-0.2885525548110896,-0.11772542085278664,-0.29488334484122597,0.4717846520390111,0.1784645828574656,1.7423157136890803,-0.609352733343102,2.2842116337098823,0.46893890030173013,0.6375173264548497,-0.1014830603394789,0.021673216455437898,-0.0775758031213209,0.03295812953762588,0.21059066916843075,0.27551597091818975,-0.03386190979971374,0.11156733121346636,0.1374577541486108,-0.14457654464979808,-0.10467573583145791,0.059828897765269076,-0.14767227033557753,0.1505243126534608,-0.0798620180118413,-0.04447519389955088,-0.09210911066655379
71,-1.3289364388066447,-0.3148715829620121,2.5906275597632242,0.973426815493945,1.0762732107312272,-0.5939105026217065,-0.5122912891660727,-0.11847735095975707,0.05766346562203327,-0.41503983135713296,-0.11449914939297358,0.03925873540538778,0.02275346553374479,-0.05985831435439363,-0.14631189023356614,-0.1857522252820652,-0.018910637448042292,-0.200878882362525,-0.10096574429998115,0.09409931876849273,-0.04025266604565281,-0.0672595205812109,-0.020147965391355584,0.01252220949217564,0.0003472752757299603,0.027713414436251953,0.12525445717149003,-0.03814953067271244,-0.05463074720188856,-0.0403777814818469
85,-0.08390452172165128,-0.11281042916002758,0.02914824901292548,-0.1355448517269179,0.08153223306124206,-0.010310781165657201,0.3590766225268336,0.2085053902961469,0.31362571174404125,0.282086527913953,-0.0719101334699314,0.32498947294834646,0.22808319379274933,0.4331344899057394,0.8326007825445493,0.8893323198476892,-0.7900580409022907,-0.8994589990199885,-1.63432453911522,-0.20517759489261972,0.5858660301644758,0.5207061780535744,0.3667098345063897,0.16477187701421833,0.14428992327308196,-0.10497953674829276,0.3321983610272418,-0.3466509312504925,-0.23397793228838998,0.26978513964970136
